cluster,feature,cluster_mean,other_mean,difference,abs_difference,cohens_d,t_statistic,p_value,significant
0,26,-0.06134570505829017,0.27465328749771256,-0.33599899255600274,0.33599899255600274,-0.3066835233280904,-32.11710834399974,1.0046050209865047e-220,True
0,14,-0.05225459572141113,0.238547214617233,-0.2908018103386441,0.2908018103386441,-0.2771804771757445,-30.065920742345586,1.536346630151776e-194,True
0,48,-0.045808682778263075,0.19928160002353132,-0.2450902828017944,0.2450902828017944,-0.21854121880258687,-22.57428661644161,2.0610059038475868e-111,True
0,33,-0.030001533530726005,0.13564149200283562,-0.16564302553356164,0.16564302553356164,-0.16578205452853814,-18.849593828383462,1.129231677067262e-78,True
0,29,-0.03017875262970097,0.1348790189110227,-0.16505777154072365,0.16505777154072365,-0.16645796292356885,-19.0721049460883,1.710381555915733e-80,True
0,47,0.02808798156181165,-0.13065753073769312,0.1587455122995048,0.1587455122995048,0.15219239008328825,16.634909559698745,9.418844422937157e-62,True
0,28,0.02410967354852733,-0.12543841519059387,0.1495480887391212,0.1495480887391212,0.13043787629502684,13.41201748900378,7.821227021362741e-41,True
0,25,0.23267403831178943,0.34662885948330185,-0.11395482117151243,0.11395482117151243,-0.24436732529217203,-26.74191979318003,4.981083205101288e-155,True
0,24,-0.14972179354674292,-0.04492753623188406,-0.10479425731485886,0.10479425731485886,-0.13930889162559726,-15.598033871387658,1.440962618174707e-54,True
0,58,0.016488636383285363,-0.07843230475466013,0.0949209411379455,0.0949209411379455,0.09300582243475707,10.373462853702518,3.730484549235647e-25,True
0,31,-0.27342101909926236,-0.1856962822936358,-0.08772473680562656,0.08772473680562656,-0.1527997024205474,-17.25131334568342,2.8451952974470123e-66,True
0,32,-0.01586463065564781,0.0706193795924923,-0.08648401024814012,0.08648401024814012,-0.08816938018019406,-10.234187538865433,1.5608961580513265e-24,True
0,30,0.012307720090585693,-0.06304465250814681,0.07535237259873251,0.07535237259873251,0.07747368077089112,9.062315356994961,1.3681451505402577e-19,True
0,51,0.010994611379890008,-0.061112418945855305,0.07210703032574531,0.07210703032574531,0.07234797381473801,8.258472492983838,1.551832839956162e-16,True
0,17,-0.010978189589681416,0.04026152804818711,-0.051239717637868526,0.051239717637868526,-0.04959269487982663,-5.456322603097039,4.91358629287537e-08,True
0,8,-0.010143125736635138,0.0398389445677905,-0.04998207030442564,0.04998207030442564,-0.04848226899439448,-5.356875868026294,8.551927621381783e-08,True
0,66,-0.007917515803698889,0.039122036124164594,-0.04703955192786348,0.04703955192786348,-0.04670729938564206,-5.282471955998466,1.2860127726250634e-07,True
0,63,0.00891422108385699,-0.03160277189482991,0.040516992978686904,0.040516992978686904,0.040480777538730355,4.60136676349088,4.219233256626578e-06,True
0,40,-0.00717955252444866,0.031211481151066627,-0.03839103367551529,0.03839103367551529,-0.0378434466874758,-4.247096893384287,2.1741504706932915e-05,True
0,3,0.09425323158386545,0.13177063642091996,-0.03751740483705451,0.03751740483705451,-0.04542176586510832,-5.090600007083513,3.597738553376574e-07,True
1,26,0.4098819227222633,-0.05679734989795712,0.46667927262022046,0.46667927262022046,0.4068402603305702,34.953845976631044,4.56776620398409e-255,True
1,14,0.3263463077604897,-0.044242116882067035,0.3705884246425567,0.3705884246425567,0.3439854461308964,30.919988361328034,2.0153947771322223e-202,True
1,28,-0.20796836035376484,0.02519971365098135,-0.2331680740047462,0.2331680740047462,-0.18668335607242356,-15.489802367761726,1.383414819142451e-53,True
1,33,0.1997118513214019,-0.027397433536949123,0.22710928485835102,0.22710928485835102,0.22794538754711538,21.988998075283206,2.40041448044294e-105,True
1,29,0.16472009630683748,-0.022843834480435997,0.1875639307872735,0.1875639307872735,0.1898156362436431,18.48205504158264,2.304254818544042e-75,True
1,24,0.0003779646603042616,-0.14873942938433574,0.14911739404464,0.14911739404464,0.19458088211608604,18.12771263158576,1.46952960564041e-72,True
1,25,0.3813663422469999,0.2357675386601333,0.14559880358686658,0.14559880358686658,0.30723898980511,28.071712498398007,2.4394165269761155e-168,True
1,31,-0.15572144004535576,-0.2714902921573276,0.11576885211197185,0.11576885211197185,0.19970094745928493,18.905745518261458,1.0777562638636291e-78,True
1,32,0.09630806275498062,-0.013422816747571955,0.10973087950255257,0.10973087950255257,0.11306377893533745,11.240845078241248,3.4073621268479085e-29,True
1,8,0.07873770778734161,-0.01208483133284435,0.09082253912018597,0.09082253912018597,0.08616773304241372,7.90879102480257,2.8093487002724868e-15,True
1,3,0.1796277048096003,0.09019468373771701,0.08943302107188329,0.08943302107188329,0.10760777107799735,10.14736853181731,4.16430767617438e-24,True
1,46,0.06672794105621747,-0.010515891507024215,0.07724383256324169,0.07724383256324169,0.07656385583276722,7.310175207097368,2.8174854498836723e-13,True
1,30,-0.06756142348825006,0.0076897506150059095,-0.07525117410325596,0.07525117410325596,-0.07776503428367039,-7.7465458348460965,1.0074747445699561e-14,True
1,34,-0.0630210007087884,0.010200022609591169,-0.07322102331837957,0.07322102331837957,-0.07336218154395811,-7.082327692266064,1.4864966595974354e-12,True
1,66,0.06474847943355885,-0.008213974331330087,0.07296245376488894,0.07296245376488894,0.07249529897754131,6.945184438120639,3.95137397322012e-12,True
1,9,0.05765406376092373,-0.00553405363485286,0.0631881173957766,0.0631881173957766,0.05973264018825682,5.481166539069938,4.304549234037939e-08,True
1,45,-0.05432960379160203,0.008168597270460686,-0.06249820106206272,0.06249820106206272,-0.063071386810873,-6.135254229504805,8.733623933673528e-10,True
